,sentence,catalyst
4262,"Three catalysts were used in this study: platinum on zirconia (PZ), platinum and tin on zirconia (PTZ), and platinum and tin on alumina (PTA).",tin
4263,"Three catalysts were used in this study: platinum on zirconia (PZ), platinum and tin on zirconia (PTZ), and platinum and tin on alumina (PTA).",tin
4264,"Three catalysts were used in this study: platinum on zirconia (PZ), platinum and tin on zirconia (PTZ), and platinum and tin on alumina (PTA).",zirconia
4265,"Three catalysts were used in this study: platinum on zirconia (PZ), platinum and tin on zirconia (PTZ), and platinum and tin on alumina (PTA).",platinum
4266,"Three catalysts were used in this study: platinum on zirconia (PZ), platinum and tin on zirconia (PTZ), and platinum and tin on alumina (PTA).",zirconia
4267,"In the case of bimetallic catalysts, the platinum and tin were loaded onto the support simultaneously.",tin
4268,"In the case of bimetallic catalysts, the platinum and tin were loaded onto the support simultaneously.",platinum
4269,"Hydrogenation catalysts, including Pd/carbon (10wt%), Pt/carbon (5wt%), Ru/carbon (5wt%) and Rh/carbon (5wt%), were used as received from Sigma-Aldrich, USA after drying overnight at 383K to remove residual moisture.",Pt
4270,"Hydrogenation catalysts, including Pd/carbon (10wt%), Pt/carbon (5wt%), Ru/carbon (5wt%) and Rh/carbon (5wt%), were used as received from Sigma-Aldrich, USA after drying overnight at 383K to remove residual moisture.",Rh
4271,"Hydrogenation catalysts, including Pd/carbon (10wt%), Pt/carbon (5wt%), Ru/carbon (5wt%) and Rh/carbon (5wt%), were used as received from Sigma-Aldrich, USA after drying overnight at 383K to remove residual moisture.",Ru
4272,"Hydrogenation catalysts, including Pd/carbon (10wt%), Pt/carbon (5wt%), Ru/carbon (5wt%) and Rh/carbon (5wt%), were used as received from Sigma-Aldrich, USA after drying overnight at 383K to remove residual moisture.",Pd
4273,"Metal dispersion and active site density were measured by CO chemisorption at 313K on a Micrometrics AutoChem 2920 Pulse Chemisorption System, assuming CO atom to surface metal atom stoichiometry of 1.0 for Pt and 2.0 for Pd based catalysts.",Pt
4274,"Metal dispersion and active site density were measured by CO chemisorption at 313K on a Micrometrics AutoChem 2920 Pulse Chemisorption System, assuming CO atom to surface metal atom stoichiometry of 1.0 for Pt and 2.0 for Pd based catalysts.",Pd
4275,"Under the mild reaction conditions (353K and 0.55MPa of H2) employed during liquid-phase hydrogenation, the main products observed for Pt and Pd catalysts are similar to those reported for gas-phase hydrogenation discussed earlier , further experiments were undertaken with Pt/C in order to gain insight into the pathways for the formation of all products.",Pt
4276,"Under the mild reaction conditions (353K and 0.55MPa of H2) employed during liquid-phase hydrogenation, the main products observed for Pt and Pd catalysts are similar to those reported for gas-phase hydrogenation discussed earlier , further experiments were undertaken with Pt/C in order to gain insight into the pathways for the formation of all products.",Pt
4277,"Under the mild reaction conditions (353K and 0.55MPa of H2) employed during liquid-phase hydrogenation, the main products observed for Pt and Pd catalysts are similar to those reported for gas-phase hydrogenation discussed earlier , further experiments were undertaken with Pt/C in order to gain insight into the pathways for the formation of all products.",Pd
4278,A similar dependence on the partial pressure of H2 has been reported by Sen and Vannice for the hydrogenation of acetone over various oxide-supported Pt catalysts resulting from the 2nd addition of H atom being the rate determining step .,Pt
4279,A similar dependence on the partial pressure of H2 has been reported by Sen and Vannice for the hydrogenation of acetone over various oxide-supported Pt catalysts resulting from the 2nd addition of H atom being the rate determining step .,oxide
4280,"For all oxide-supported Pt catalysts, the rates of ketone hydrogenation are 2- to 5-fold higher than that for Pt/C.",Pt
4281,"For all oxide-supported Pt catalysts, the rates of ketone hydrogenation are 2- to 5-fold higher than that for Pt/C.",Pt
4282,"3a shows the activity versus the reduction temperature for catalysts with different loadings of platinum (1%, 3%, 5% and 10%).",platinum
4283,"Two general remarks emerge from this figure: (i) the 1% Pt/CeO2 sample presents the highest activity (measured by gram of Pt) regardless of the reduction temperature, (ii) the evolution of the activity versus the reduction temperature allows to classify the catalysts in two categories: for 1% and 3% Pt/CeO2 a clear maximum in activity appears at 773K reduction temperature, followed by a strong decrease at higher reduction temperature.",Pt
4284,"Two general remarks emerge from this figure: (i) the 1% Pt/CeO2 sample presents the highest activity (measured by gram of Pt) regardless of the reduction temperature, (ii) the evolution of the activity versus the reduction temperature allows to classify the catalysts in two categories: for 1% and 3% Pt/CeO2 a clear maximum in activity appears at 773K reduction temperature, followed by a strong decrease at higher reduction temperature.",CeO2
4285,"Two general remarks emerge from this figure: (i) the 1% Pt/CeO2 sample presents the highest activity (measured by gram of Pt) regardless of the reduction temperature, (ii) the evolution of the activity versus the reduction temperature allows to classify the catalysts in two categories: for 1% and 3% Pt/CeO2 a clear maximum in activity appears at 773K reduction temperature, followed by a strong decrease at higher reduction temperature.",Pt
4286,"Two general remarks emerge from this figure: (i) the 1% Pt/CeO2 sample presents the highest activity (measured by gram of Pt) regardless of the reduction temperature, (ii) the evolution of the activity versus the reduction temperature allows to classify the catalysts in two categories: for 1% and 3% Pt/CeO2 a clear maximum in activity appears at 773K reduction temperature, followed by a strong decrease at higher reduction temperature.",Pt
4287,"Two general remarks emerge from this figure: (i) the 1% Pt/CeO2 sample presents the highest activity (measured by gram of Pt) regardless of the reduction temperature, (ii) the evolution of the activity versus the reduction temperature allows to classify the catalysts in two categories: for 1% and 3% Pt/CeO2 a clear maximum in activity appears at 773K reduction temperature, followed by a strong decrease at higher reduction temperature.",CeO2
4288,"Finally, the activities are similar for the 1% and 3% Pt/CeO2 catalysts after a reduction at 973K and are exactly the same for the 5% and 10% Pt/CeO2 catalysts after reduction at 873 and 973K.",Pt
4289,"Finally, the activities are similar for the 1% and 3% Pt/CeO2 catalysts after a reduction at 973K and are exactly the same for the 5% and 10% Pt/CeO2 catalysts after reduction at 873 and 973K.",Pt
4290,"Finally, the activities are similar for the 1% and 3% Pt/CeO2 catalysts after a reduction at 973K and are exactly the same for the 5% and 10% Pt/CeO2 catalysts after reduction at 873 and 973K.",CeO2
4291,"Finally, the activities are similar for the 1% and 3% Pt/CeO2 catalysts after a reduction at 973K and are exactly the same for the 5% and 10% Pt/CeO2 catalysts after reduction at 873 and 973K.",CeO2
4292,"On the basis of the previous results, a parametric study was performed over a stabilized 0.5 wt% Pd/Al2O3 catalyst using toluene as a co-solvent.",Al2O3
4293,"On the basis of the previous results, a parametric study was performed over a stabilized 0.5 wt% Pd/Al2O3 catalyst using toluene as a co-solvent.",Pd
4294,"In situ ATR-IR studies at the solid–fluid interface of the Pd-catalyst were performed by coating the ATR crystal with a layer of active catalyst with the aim of gaining information on the phase behavior inside the catalyst pores and on the interactions among CO2, toluene, substrates, and the solid catalyst.",Pd
4295,"Cinnamyl alcohol was then oxidized over the palladium catalyst at 120 bar and 80 °C in the batch reactor infrared view cell (0.15 mol% alcohol, 0.15 mol% O2, 1.9 mol% toluene, 97.8 mol% CO2).",palladium
4296,Operando X-ray absorption experiments were performed to shed more light on the oxidation state of the palladium catalyst during cinnamyl alcohol oxidation and to investigate whether the measured changes in activity could be traced back to modifications of the catalyst structure.,palladium
4297,1 .crystal structure of synthesized ZnO and CZO photocatalysts were studied using a Rigaho dmax- IIIA X-ray diffractometer with Cu-Kα radiation (λ = 1.5406 A°) in 2θ range 20°-80° using step width of 0.02°.,ZnO
4298,"The photocatalysts were applied as working electrode, while platinum wire and Ag/AgCl were used as counter electrode and reference electrode respectively.",Ag
4299,"The photocatalysts were applied as working electrode, while platinum wire and Ag/AgCl were used as counter electrode and reference electrode respectively.",platinum
4300,"The photocatalysts were applied as working electrode, while platinum wire and Ag/AgCl were used as counter electrode and reference electrode respectively.",AgCl
4301,"2 shows the XRD patterns carried out to evaluate the crystal structure, peak intensity, and particle size of pure ZnO and CZO photocatalysts.",ZnO
4302,The particles of pristine ZnO photocatalyst (Fig.,ZnO
4303,The surface area for ZnO and CZO photocatalysts was measured by employing N2 gas absorption-adsorption technique and is shown in Table 2 .,ZnO
4304,Diffuse reflectance spectroscopy analysis was employed to investigate the energy band gap of the synthesized ZnO and CZO photocatalysts.,ZnO
4305,"To determine the band gap energy for pure ZnO and CZO photocatalysts, graph was plotted between (αhѴ) 2 and photon energy hѴ using above relation.",ZnO
4306,9 depicts room temperature fluorescence spectra for pure ZnO and CZO photocatalysts carried out at excitation wavelength of 325 nm to determine the excited states and defects.,ZnO
4307,The enhancement in the hydrogen evolution was 6 times higher than that reported for the unmodified commercial ZnO catalyst (94 μmolh−1) and almost 14 times higher than previously reported for Cu-doped ZnO photocatalyst .,ZnO
4308,The enhancement in the hydrogen evolution was 6 times higher than that reported for the unmodified commercial ZnO catalyst (94 μmolh−1) and almost 14 times higher than previously reported for Cu-doped ZnO photocatalyst .,ZnO
4309,The enhancement in the hydrogen evolution was 6 times higher than that reported for the unmodified commercial ZnO catalyst (94 μmolh−1) and almost 14 times higher than previously reported for Cu-doped ZnO photocatalyst .,Cu
4310,13 shows the hydrogen evolution rate for pure ZnO and CZO photocatalysts in the absence of ethanol.,ZnO
4311,The photocatalytic hydrogen evolution for ZnO and CZO photocatalysts as a function of time is shown in Fig.,ZnO
4312,The doping of Ca in to ZnO catalyst further greatly improved the performance remarkably low (819.75 μmol for 7 h).,ZnO
4313,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",argon
4314,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",CNT973
4315,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",PtRu
4316,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",PtRu
4317,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",CNT1273
4318,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",CNT1123
4319,"Further heat treatments were performed under argon on this catalyst at 923, 1123 and 1273K for 1h, yielding PtRu/CNT973, PtRu/CNT1123 and PtRu/CNT1273, respectively.",PtRu
4320,"A desired amount of catalyst (typically 100mg) was introduced in a 100-mL autoclave (Top Industrie), and 20mL of dioxane was added.",dioxane
4321,"Considering now the different catalysts on MWCNTs, the selectivity towards cinnamyl alcohol increased linearly with the activation temperature to reach 94% for PtRu/CNT1273.",PtRu
4322,"The ATR cell is equipped with a fused silica window (5-mm diameter and 3-mm thickness), which allows simultaneous recording of UV–vis and ATR-IR spectra of the catalyst layer.",silica
4323,The catalyst Pd–Cu/γ-Al2O3 catalyst.,Cu
4324,The catalyst Pd–Cu/γ-Al2O3 catalyst.,Pd
4325,The catalytic experiments were carried out in a fixed-bed tubular quartz reactor containing 150mg of catalyst mixed with 350mg of quartz particles.,quartz
4326,The catalytic experiments were carried out in a fixed-bed tubular quartz reactor containing 150mg of catalyst mixed with 350mg of quartz particles.,quartz
4327,1 shows the activity of the catalyst in the propane steam reforming reaction over the Pd–Cu/Al2O3 catalyst.,Al2O3
4328,"These data show that Pd–Cu/Al2O3 catalyst is an excellent catalyst for propene steam reforming, although CO/CO2 ratio is quite high showing that at low temperature the water gas shift reaction occurs to a limited extent.",Al2O3
4329,The catalytic activity of Ni/NiAl2O4 catalyst in C3H8 steam reforming is shown in Fig.,NiAl2O4
4330,The catalytic activity of Ni/NiAl2O4 catalyst in C3H8 steam reforming is shown in Fig.,Ni
4331,CO 2 + 4 H 2 = CH 4 + 2 H 2 O Conversion/selectivities vs. temperature of the catalytic test of Ni-based catalyst in the propene steam reforming are shown in Fig.,Ni
4332,"Even in this case, like for propane over Ni-based catalyst, the reaction occurring at low temperature is the steam reforming of the olefin followed by the WGS, whereas by increasing temperature since WGS is less favored, the main reaction is steam reforming.",Ni
4333,"(3) NaBH 4 + 4 CH 3 OH → catalyst NaB OCH 3 4 + 4 H 2 The batch regime methanolysis (10 ml CH3OH, Analytical Grade, Sigma-Aldrich) experiments were carried out in the presence of a catalyst (5 mg) with a 0.12 M initial NaBH4 concentration.",NaBH4
4334,Production was started after loading NaBH4 into the reactor included methanol and the catalyst.,NaBH4
4335,"The utilized catalysts are supplied from American Cyanamid (HDS 16A, 4.4 wt.% cobalt and 7.5 wt.% molybdenum) and Criterion (DC 130 KHT, 3.4 wt.% cobalt and 13.6 wt.% molybdenum).",molybdenum
4336,"The utilized catalysts are supplied from American Cyanamid (HDS 16A, 4.4 wt.% cobalt and 7.5 wt.% molybdenum) and Criterion (DC 130 KHT, 3.4 wt.% cobalt and 13.6 wt.% molybdenum).",molybdenum
4337,"The utilized catalysts are supplied from American Cyanamid (HDS 16A, 4.4 wt.% cobalt and 7.5 wt.% molybdenum) and Criterion (DC 130 KHT, 3.4 wt.% cobalt and 13.6 wt.% molybdenum).",cobalt
4338,"The utilized catalysts are supplied from American Cyanamid (HDS 16A, 4.4 wt.% cobalt and 7.5 wt.% molybdenum) and Criterion (DC 130 KHT, 3.4 wt.% cobalt and 13.6 wt.% molybdenum).",cobalt
4339,An initial lower reduction temperature (245 °C) for the Cu catalyst was chosen for an extended duration of 3 h as it was reported to be suitable for the subsequent Pd galvanic replacement .,Pd
4340,An initial lower reduction temperature (245 °C) for the Cu catalyst was chosen for an extended duration of 3 h as it was reported to be suitable for the subsequent Pd galvanic replacement .,Cu
4341,"As the first step to propose a new catalyst, we investigated the effects of the sheet size of the graphene and dispersibility of graphene and TiO2 on the catalytic activity in this study.",graphene
4342,"As the first step to propose a new catalyst, we investigated the effects of the sheet size of the graphene and dispersibility of graphene and TiO2 on the catalytic activity in this study.",TiO2
4343,"As the first step to propose a new catalyst, we investigated the effects of the sheet size of the graphene and dispersibility of graphene and TiO2 on the catalytic activity in this study.",graphene
4344,"The photocatalytic oxidation of benzyl alcohols (BA) to benzaldehydes with high selectivity in presence of the synthesized Fe2O3 HNT catalyst was carried out in a photochemical reactor comprising of a 500 mL of reaction chamber made up of quartz, surrounded by a 300 W Xenon arc lamp along with a UV cut-off filter (λ ≥ 420 nm) as the visible light source.",Fe2O3
4345,"The photocatalytic oxidation of benzyl alcohols (BA) to benzaldehydes with high selectivity in presence of the synthesized Fe2O3 HNT catalyst was carried out in a photochemical reactor comprising of a 500 mL of reaction chamber made up of quartz, surrounded by a 300 W Xenon arc lamp along with a UV cut-off filter (λ ≥ 420 nm) as the visible light source.",quartz
4346,"The photocatalytic oxidation of benzyl alcohols (BA) to benzaldehydes with high selectivity in presence of the synthesized Fe2O3 HNT catalyst was carried out in a photochemical reactor comprising of a 500 mL of reaction chamber made up of quartz, surrounded by a 300 W Xenon arc lamp along with a UV cut-off filter (λ ≥ 420 nm) as the visible light source.",benzaldehydes
4347,"The photocatalytic oxidation of benzyl alcohols (BA) to benzaldehydes with high selectivity in presence of the synthesized Fe2O3 HNT catalyst was carried out in a photochemical reactor comprising of a 500 mL of reaction chamber made up of quartz, surrounded by a 300 W Xenon arc lamp along with a UV cut-off filter (λ ≥ 420 nm) as the visible light source.",Xenon
4348,"In order to ascribe the photocatalytic activity of Ni@SGCN, 5 mL ACN (HPLC grade) and 0.11 mmol furfuryl amine were taken as a model substrate into the round bottom flask containing certain amount of Ni@SGCN catalyst.",Ni
4349,"In order to ascribe the photocatalytic activity of Ni@SGCN, 5 mL ACN (HPLC grade) and 0.11 mmol furfuryl amine were taken as a model substrate into the round bottom flask containing certain amount of Ni@SGCN catalyst.",Ni
4350,The Fe(NO3)3·9H2O aqueous solution was used to synthesize the Fe/AC catalysts.,Fe
4351,The SiC and 2%-Fe/AC catalyst (ca.,SiC
4352,"The X-ray diffraction (XRD) patterns of the synthesized catalysts were obtained from Rigaku Ultima IV X-ray diffractometer with Cu Kα as the X-ray source (λ = 0.15406 nm, 40 kV, 30 mA) and with a scanning range of 2θ = 10°–90°.",Cu
4353,(12)) to attain equilibrium in the presence of Ni-based catalyst.,Ni
4354,"for the catalysts: XRD patterns were collected on an X-ray diffractometer (Rigaku Ultima IV) using Cu Ka radiation (λ = 1.54 Å, 40 kV and 30 mA) with high-speed array detection system.",Cu
4355,"For the stability test, seven cycles of 8h each one were carried out for the selected most active photocatalyst (0.5Rh-3WO3/NT) and three cycles for 0.5Rh/NT to corroborate the effect of tungsten upon photocatalytic stability.",tungsten
4356,The H2-TPR study of the photocatalysts was performed in a Quantachrome ChemBET TPR/TPD chemisorption analyzer unit under a flow of 10% H2/Ar gas mixture (20mlmin−1) with a heating rate of 10°C min−1 from room temperature up to 600°C.,Ar
4357,"In a typical experiment, freshly prepared (0.6 M) aqueous NaBH4 solution (5 mL) was added to Pd(II)/MOF dispersion under continuous stirring, which resulted in the generation of catalysts as a dark-colored suspension.",NaBH4
4358,"Nickel nitrate hexahydrate (Ni(NO3)2.6H2O, Merck) and copper nitrate hexahydrate (CuN2O6.3H2O, Sigma-Aldrich) were used as the Ni and Cu precursors in the synthesis of these catalysts.",Ni
4359,"Nickel nitrate hexahydrate (Ni(NO3)2.6H2O, Merck) and copper nitrate hexahydrate (CuN2O6.3H2O, Sigma-Aldrich) were used as the Ni and Cu precursors in the synthesis of these catalysts.",Cu
4360,The CuO/ZnO/Al2O3 nanocatalyst which is fabricated via oxalate gel coprecipitation synthesis procedure is denoted as CZA-OG and also the portion of this sample which is treated by plasma is defined as CZA-OG-P. D-5000 Siemens X-ray diffractometer is applied in order to obtain X-ray diffraction (XRD) patterns and crystallography features of the prepared samples.,ZnO
4361,The CuO/ZnO/Al2O3 nanocatalyst which is fabricated via oxalate gel coprecipitation synthesis procedure is denoted as CZA-OG and also the portion of this sample which is treated by plasma is defined as CZA-OG-P. D-5000 Siemens X-ray diffractometer is applied in order to obtain X-ray diffraction (XRD) patterns and crystallography features of the prepared samples.,Al2O3
4362,The CuO/ZnO/Al2O3 nanocatalyst which is fabricated via oxalate gel coprecipitation synthesis procedure is denoted as CZA-OG and also the portion of this sample which is treated by plasma is defined as CZA-OG-P. D-5000 Siemens X-ray diffractometer is applied in order to obtain X-ray diffraction (XRD) patterns and crystallography features of the prepared samples.,oxalate
4363,The CuO/ZnO/Al2O3 nanocatalyst which is fabricated via oxalate gel coprecipitation synthesis procedure is denoted as CZA-OG and also the portion of this sample which is treated by plasma is defined as CZA-OG-P. D-5000 Siemens X-ray diffractometer is applied in order to obtain X-ray diffraction (XRD) patterns and crystallography features of the prepared samples.,CuO
4364,Scanning of the synthesized nanocatalysts is performed in the range of 2θ = 20–90° by the mentioned instrument through Cu Kα radiation source (λ = 0.154056 nm) joined to an X-ray tube which acts at 30 kV and 40 mA.,Cu
4365,"The preparation of electrocatalyst ink starts with taking electrocatalyst powder, mixing it with the iso-propyl alcohol and water solvent mixture with the Nafion® solution (Aldrich, USA) this solution kept under sonication bath for time period of 20 min.",Nafion
4366,"The prepared electrocatalyst ink then casted on the Nafion-115 membrane by simply utilizing the spray gun, the amount of electrocatalyst utilized for loading was approximately 2 mg cm−2 and this has been considered as working electrode.",Nafion
4367,in his previous work before the loading of the electrocatalyst on the Nafion-115 membrane .,Nafion
4368,Porous titanium sinters were then pressed against these electrocatalyst layers to provide the whole system the electrical contact.,titanium
4369,"Ammonium carbonate (≥30.0% NH3 basis) and 28% ammonia solution were purchased from Chameleon Reagent, Ltd. Loy Yang (LY) brown coal from Australia was used as a support for nickel-loaded brown coal char catalyst (Ni/LY char).",Ni
4370,"Ammonium carbonate (≥30.0% NH3 basis) and 28% ammonia solution were purchased from Chameleon Reagent, Ltd. Loy Yang (LY) brown coal from Australia was used as a support for nickel-loaded brown coal char catalyst (Ni/LY char).",nickel
4371,"For Ni/LY char catalyst, fresh and spent catalysts were examined the morphology using FE-scanning electron microscope (JEOL JEM-6335F).",Ni
4372,"Pure Pd nanoparticle catalyst was prepared by the reduction of Pd precursor using NaBH4 reducing agent, for the comparative analysis of the catalytic activity of prepared PdAu NW catalyst.",PdAu
4373,"Pure Pd nanoparticle catalyst was prepared by the reduction of Pd precursor using NaBH4 reducing agent, for the comparative analysis of the catalytic activity of prepared PdAu NW catalyst.",Pd
4374,"Pure Pd nanoparticle catalyst was prepared by the reduction of Pd precursor using NaBH4 reducing agent, for the comparative analysis of the catalytic activity of prepared PdAu NW catalyst.",NaBH4
4375,"Pure Pd nanoparticle catalyst was prepared by the reduction of Pd precursor using NaBH4 reducing agent, for the comparative analysis of the catalytic activity of prepared PdAu NW catalyst.",Pd
4376,"In a standard three electrode system a catalyst modified glassy carbon electrode, a double junction Ag/AgCl electrode and a platinum wire were served as the working, reference and counter electrode respectively.",platinum
4377,"In a standard three electrode system a catalyst modified glassy carbon electrode, a double junction Ag/AgCl electrode and a platinum wire were served as the working, reference and counter electrode respectively.",AgCl
4378,"In a standard three electrode system a catalyst modified glassy carbon electrode, a double junction Ag/AgCl electrode and a platinum wire were served as the working, reference and counter electrode respectively.",Ag
4379,"The catalyst used in this current study was 5% rhodium supported on HZSM-5, which was previously examined for various surface properties such as morphology of catalyst surface as well as specific surface properties and metal dispersion.",rhodium
4380,"According to the Pd/Au molar ratio, these catalysts are denoted as Au1Pd0.8/TS-1, Au1Pd0.6/TS-1, Au1Pd0.5/TS-1 and Au1Pd0.3/TS-1, respectively.",Pd
4381,"According to the Pd/Au molar ratio, these catalysts are denoted as Au1Pd0.8/TS-1, Au1Pd0.6/TS-1, Au1Pd0.5/TS-1 and Au1Pd0.3/TS-1, respectively.",Au
4382,"Before the reduction, 25mg of the catalyst was treated at 300°C under high purity 99.99% helium with the flow rate of 20ml/min for an hour to remove moisture and other gas impurities.",helium
4383,"The typical reaction system consist from 10% KOH, 2.0% KBH4 and different amounts of catalyst in 10 mL water solution .",KOH
4384,The photocatalytic H2 evolution reactions with these catalysts were conducted in a quartz reactor (100 mL) with top-irradiation quartz window and gas sampling hole.,quartz
4385,The photocatalytic H2 evolution reactions with these catalysts were conducted in a quartz reactor (100 mL) with top-irradiation quartz window and gas sampling hole.,quartz
4386,The photocatalyst (4 mg) was dispersed in ethanol solution containing Nafion (50 vol%) and then sonicated extensively.,Nafion
4387,DP25 Titanium dioxide (TiO2) from Evonik Degussa Co. was used as semiconductor “support” to prepare the modified photocatalyst of the present study .,TiO2
4388,"Finally, the photocatalyst was placed in a flow reactor unit under a 1cm3/s of Ar/H2 (g) (90/10%, Praxair) reducing mixture.",Ar
4389,"Regarding the sealed well mixed tank, it was designed and equipped to accomplish the following: (i) provide jet driven mixing for TiO2–water slurry free of sealing issues and hydrogen losses, (ii) take aliquot samples (gas and liquid) allowing measurements of organic scavengers and hydrogen, (iii) add the photocatalyst (Pt/TiO2), (iv) store H2, (v) feed inert gases (N2 or Ar) as needed, (vi) measure the pH and (vii) monitor the temperature.",Ar
4390,"Regarding the sealed well mixed tank, it was designed and equipped to accomplish the following: (i) provide jet driven mixing for TiO2–water slurry free of sealing issues and hydrogen losses, (ii) take aliquot samples (gas and liquid) allowing measurements of organic scavengers and hydrogen, (iii) add the photocatalyst (Pt/TiO2), (iv) store H2, (v) feed inert gases (N2 or Ar) as needed, (vi) measure the pH and (vii) monitor the temperature.",TiO2
4391,"Regarding the sealed well mixed tank, it was designed and equipped to accomplish the following: (i) provide jet driven mixing for TiO2–water slurry free of sealing issues and hydrogen losses, (ii) take aliquot samples (gas and liquid) allowing measurements of organic scavengers and hydrogen, (iii) add the photocatalyst (Pt/TiO2), (iv) store H2, (v) feed inert gases (N2 or Ar) as needed, (vi) measure the pH and (vii) monitor the temperature.",Pt
4392,"Regarding the sealed well mixed tank, it was designed and equipped to accomplish the following: (i) provide jet driven mixing for TiO2–water slurry free of sealing issues and hydrogen losses, (ii) take aliquot samples (gas and liquid) allowing measurements of organic scavengers and hydrogen, (iii) add the photocatalyst (Pt/TiO2), (iv) store H2, (v) feed inert gases (N2 or Ar) as needed, (vi) measure the pH and (vii) monitor the temperature.",TiO2
4393,Step-1: Preparation of CdS/Ta 2 O 5 photocatalyst.,CdS
4394,Step-2: Preparation of Cu 2 S sensitized CdS/Ta 2 O 5 photocatalyst (Cu 2 S/Ta 2 O 5 /CdS).,CdS
4395,Step-2: Preparation of Cu 2 S sensitized CdS/Ta 2 O 5 photocatalyst (Cu 2 S/Ta 2 O 5 /CdS).,Ta
4396,Step-2: Preparation of Cu 2 S sensitized CdS/Ta 2 O 5 photocatalyst (Cu 2 S/Ta 2 O 5 /CdS).,Cu
4397,The optimized binary composite photocatalyst (CT-10) consists of 90 wt % CdS and 10 wt % Ta2O5 was chosen to design ternary nanocomposite photocatalysts.,Ta2O5
4398,The optimized binary composite photocatalyst (CT-10) consists of 90 wt % CdS and 10 wt % Ta2O5 was chosen to design ternary nanocomposite photocatalysts.,CdS
4399,"For the synthesis of CoFe2O4@ZnS core–shell photocatalysts, 6.18mmol zinc acetate was added into 80ml ethylene glycol (EG) with CoFe2O4 nanoparticles.",CoFe2O4
4400,"For the synthesis of CoFe2O4@ZnS core–shell photocatalysts, 6.18mmol zinc acetate was added into 80ml ethylene glycol (EG) with CoFe2O4 nanoparticles.",ZnS
4401,"For the synthesis of CoFe2O4@ZnS core–shell photocatalysts, 6.18mmol zinc acetate was added into 80ml ethylene glycol (EG) with CoFe2O4 nanoparticles.",CoFe2O4
4402,"The X-ray diffraction analysis was carried out by D5000 Siemens X-ray diffractometer (Cu Kα radiation, λ =0.154056nm) with an X-ray tube operated at 30kV and 40mA in a scanning range of 2θ =15–90° with scanning rate of 0.02°/s to confirm the presence of metal oxide phases in synthesized nanocatalysts.",Cu
4403,"Regarding the free of sealing issues and hydrogen losses and well mixed tank, it was designed and equipped to accomplish the following: (i) To provide good gas and liquid mixing in the hydrogen storage tank, a self-driven mixing impeller was placed in the head space of the hydrogen storage tank, (ii) To take aliquot samples (gas and liquid), allowing measurements of organic scavengers and hydrogen, (ii) To add the photocatalyst (Pt/TiO2), (iii) To store H2, (iv) To feed inert gases (N2 or Ar) as needed, (v) To measure the pH and (vi) To monitor the temperature.",Ar
4404,"Regarding the free of sealing issues and hydrogen losses and well mixed tank, it was designed and equipped to accomplish the following: (i) To provide good gas and liquid mixing in the hydrogen storage tank, a self-driven mixing impeller was placed in the head space of the hydrogen storage tank, (ii) To take aliquot samples (gas and liquid), allowing measurements of organic scavengers and hydrogen, (ii) To add the photocatalyst (Pt/TiO2), (iii) To store H2, (iv) To feed inert gases (N2 or Ar) as needed, (v) To measure the pH and (vi) To monitor the temperature.",Pt
4405,"Regarding the free of sealing issues and hydrogen losses and well mixed tank, it was designed and equipped to accomplish the following: (i) To provide good gas and liquid mixing in the hydrogen storage tank, a self-driven mixing impeller was placed in the head space of the hydrogen storage tank, (ii) To take aliquot samples (gas and liquid), allowing measurements of organic scavengers and hydrogen, (ii) To add the photocatalyst (Pt/TiO2), (iii) To store H2, (iv) To feed inert gases (N2 or Ar) as needed, (v) To measure the pH and (vi) To monitor the temperature.",TiO2
4406,A rotary ALD reactor coupled with fluidization was utilized to deposit MnOx on the powder Pd/Al2O3 catalysts.,MnOx
4407,A rotary ALD reactor coupled with fluidization was utilized to deposit MnOx on the powder Pd/Al2O3 catalysts.,Pd
4408,A rotary ALD reactor coupled with fluidization was utilized to deposit MnOx on the powder Pd/Al2O3 catalysts.,Al2O3
4409,"The methanol (99.8% purity) as a short-chain alcohol and potassium hydroxide (KOH) pellets (>90% purity) as a homogeneous base catalyst were employed and provided from Isolab (Wertheim, Germany) and Tekkim Laboratory Chemicals (Bursa, Turkey).",KOH
4410,"In the single-stage transesterification process, the peanut oil was reacted with using KOH as an alkali catalyst for reducing the unsaturated fatty acid content in the biodiesel.",KOH
